10000; 0.189
10000; 0.209
10000; 0.001
10000; 0.388
10000; 0.002
10000; 0.001
20000; 0.667
20000; 0.743
20000; 0.003
20000; 1.608
20000; 0.004
20000; 0.002
30000; 1.527
30000; 1.748
30000; 0.004
30000; 3.535
30000; 0.006
30000; 0.002
40000; 2.664
40000; 2.956
40000; 0.005
40000; 6.443
40000; 0.007
40000; 0.003
50000; 4.782
50000; 4.687
50000; 0.006
50000; 10.098
50000; 0.008
50000; 0.003
60000; 6.016
60000; 6.800
60000; 0.006
60000; 14.123
60000; 0.010
60000; 0.007
70000; 8.131
70000; 9.387
70000; 0.008
70000; 19.888
70000; 0.011
70000; 0.005
80000; 10.734
80000; 12.367
80000; 0.011
80000; 25.725
80000; 0.013
80000; 0.006
90000; 14.030
90000; 15.215
90000; 0.010
90000; 32.645
90000; 0.016
90000; 0.008
100000; 16.816
100000; 18.918
100000; 0.013
100000; 40.126
100000; 0.021
100000; 0.009
100000; 18.321
100000; 21.400
100000; 0.013
100000; 44.313
100000; 0.018
100000; 0.010
10000; 0.471
10000; 0.358
10000; 0.002
10000; 0.450
10000; 0.001
10000; 0.001
20000; 0.737
20000; 0.816
20000; 0.003
20000; 1.703
20000; 0.003
20000; 0.001
30000; 1.603
30000; 2.222
30000; 0.004
30000; 3.909
30000; 0.005
30000; 0.003
40000; 2.855
40000; 3.198
40000; 0.005
40000; 6.803
40000; 0.007
40000; 0.002
50000; 4.348
50000; 5.103
50000; 0.005
50000; 11.776
50000; 0.011
50000; 0.005
60000; 7.084
60000; 7.629
60000; 0.007
60000; 16.142
60000; 0.010
60000; 0.007
70000; 8.783
70000; 10.325
70000; 0.011
70000; 22.417
70000; 0.014
70000; 0.006
80000; 11.559
80000; 13.214
80000; 0.010
80000; 29.493
80000; 0.016
80000; 0.008
90000; 15.151
90000; 16.448
90000; 0.010
90000; 34.285
90000; 0.017
90000; 0.007
100000; 17.981
100000; 19.943
100000; 0.012
100000; 43.476
100000; 0.021
100000; 0.009
100000; 18.382
100000; 21.112
100000; 0.013
100000; 47.027
100000; 0.019
100000; 0.010
200000; 71.281
200000; 81.838
200000; 0.035
200000; 169.834
200000; 0.048
200000; 0.019
300000; 160.580
300000; 198.060
300000; 0.046
300000; 399.831
300000; 0.058
300000; 0.026
400000; 273.728
400000; 295.282
400000; 0.053
400000; 622.888
400000; 0.075
400000; 0.031
500000; 814.304
500000; 26892.793
500000; 0.096
100000; 19.731
100000; 29.915
100000; 0.024
100000; 58.990
100000; 0.018
100000; 0.009
200000; 69.922
200000; 75.115
200000; 0.029
200000; 167.981
200000; 0.039
200000; 0.014
300000; 153.520
300000; 178.828
300000; 0.039
300000; 371.742
300000; 0.054
300000; 0.025
400000; 278.863
400000; 326.977
400000; 0.060
100000; 17.089
100000; 19.758
100000; 0.012
100000; 41.865
100000; 0.018
100000; 0.009
110000; 22.080
110000; 25.570
110000; 0.016
110000; 52.101
